[и, 4913]
[в, 2347]
[не, 1972]
[он, 1809]
[что, 1645]
[на, 1608]
[с, 1378]
[как, 1072]
[к, 871]
[я, 860]
[его, 848]
[князь, 625]
[но, 599]
[это, 578]
[она, 570]
[сказал, 568]
[было, 498]
[так, 478]
[а, 462]
[то, 457]
[за, 451]
[всё, 399]
[по, 392]
[ему, 391]
[от, 384]
[вы, 374]
[был, 368]
[же, 366]
[ее, 358]
[из, 334]
[у, 325]
[бы, 323]
[о, 315]
[только, 299]
[андрей, 294]
[еще, 291]
[мне, 232]
[все, 230]
[ты, 229]
[ростов, 228]
[для, 217]
[него, 217]
[пьер, 213]
[de, 213]
[да, 207]
[была, 207]
[уже, 207]
[они, 200]
[себя, 199]
[сказала, 195]
[говорил, 191]
[когда, 186]
[теперь, 184]
[очень, 182]
[чтобы, 180]
[вот, 179]
[будто, 173]
[ни, 173]
[быть, 172]
[были, 172]
[их, 172]
[ну, 169]
[время, 168]
[vous, 167]
[нет, 167]
[который, 162]
[меня, 162]
[ничего, 161]
[до, 158]
[или, 158]
[князя, 156]
[этого, 153]
[анна, 152]
[того, 151]
[опять, 149]
[вас, 149]
[a, 142]
[княжна, 141]
[всех, 140]
[глаза, 138]
[лицо, 136]
[будет, 136]
[que, 134]
[ли, 134]
[этот, 129]
[себе, 128]
[et, 128]
[ежели, 127]
[тем, 127]
[вам, 125]
[том, 124]
[мы, 122]
[при, 122]
[чем, 121]
[василий, 121]
[под, 116]
[la, 114]
[мой, 114]
[дело, 113]
[je, 113]
[которые, 112]
[где, 112]
[один, 110]
[le, 110]
[вдруг, 108]
[после, 108]
[мог, 107]
[более, 107]
[руку, 107]
[во, 106]
[хорошо, 106]
[свою, 105]
[может, 105]
[граф, 105]
[mon, 104]
[со, 103]
[человек, 102]
[кутузов, 102]
[раз, 101]
[перед, 101]
[ним, 100]
[сам, 100]
[княгиня, 99]
[другой, 97]
[несколько, 96]
[что-то, 94]
[ваше, 92]
[ей, 91]
[эти, 90]
[лошадь, 89]
[между, 87]
[михайловна, 86]
[всегда, 86]
[друг, 85]
[надо, 85]
[знаю, 84]
[своей, 84]
[там, 84]
[своего, 84]
[солдат, 83]
[отвечал, 82]
[борис, 82]
[видимо, 81]
[им, 81]
[своим, 81]
[людей, 80]
[потому, 80]
[спросил, 80]
[через, 79]
[без, 79]
[ней, 79]
[над, 79]
[два, 78]
[пьера, 77]
[офицер, 77]
[которое, 76]
[нее, 76]
[кто, 76]
[которой, 76]
[человека, 75]
[эту, 75]
[про, 74]
[голову, 74]
[этих, 74]
[les, 74]
[князю, 72]
[ne, 72]
[улыбаясь, 72]
[тебе, 71]
[думал, 71]
[говорила, 71]
[этой, 70]
[вперед, 70]
[потом, 69]
[минуту, 69]
[графа, 67]
[казалось, 67]
[видел, 67]
[здесь, 67]
[несмотря, 67]
[марья, 66]
[есть, 66]
[улыбкой, 65]
[павловна, 65]
[больше, 65]
[слова, 65]
[войска, 64]
[bourienne, 64]
[которая, 64]
[pas, 64]
[лице, 64]
[которого, 63]
[говорить, 63]
[впереди, 63]
[этом, 63]
[нему, 63]
[руки, 62]
[нужно, 62]
[m-lle, 62]
[знал, 62]
[вместе, 62]
[голос, 62]
[подумал, 62]
[даже, 62]
[назад, 61]
[могу, 61]
[которую, 60]
[графиня, 60]
[лица, 60]
[об, 60]
[день, 60]
[свое, 60]
[тоже, 59]
[солдаты, 59]
[нас, 59]
[всего, 59]
[обратился, 59]
[стал, 58]
[одно, 58]
[них, 58]
[багратион, 57]
[свои, 57]
[прежде, 57]
[видно, 57]
[наташа, 57]
[un, 57]
[подошел, 57]
[никогда, 56]
[своих, 56]
[долохов, 56]
[государя, 56]
[генерал, 56]
[сказать, 55]
[хотел, 55]
[pour, 55]
[милый, 54]
[всем, 54]
[денисов, 54]
[тут, 54]
[государь, 54]
[письмо, 54]
[разговор, 54]
[болконский, 54]
[смотрел, 54]
[проговорил, 53]
[чтоб, 53]
[сын, 53]
[тебя, 53]
[ах, 53]
[ma, 53]
[андрея, 52]
[c'est, 52]
[тех, 52]
[глазами, 52]
[уж, 51]
[продолжал, 51]
[одна, 51]
[вышел, 51]
[командир, 51]
[одного, 50]
[ce, 50]
[закричал, 50]
[кутузова, 50]
[ж, 49]
[особенно, 49]
[ростова, 49]
[французов, 49]
[люди, 49]
[глядя, 48]
[знаете, 48]
[кроме, 48]
[нельзя, 48]
[des, 48]
[прямо, 48]
[котором, 48]
[против, 48]
[остановился, 48]
[много, 47]
[говорили, 47]
[элен, 47]
[армии, 47]
[несвицкий, 47]
[тот, 47]
[которых, 46]
[стоял, 46]
[из-за, 46]
[лошади, 46]
[анатоль, 45]
[обращаясь, 45]
[тому, 45]
[двери, 45]
[друга, 44]
[молодой, 44]
[видеть, 44]
[мост, 44]
[est, 44]
[голосом, 44]
[николай, 44]
[соня, 44]
[выражение, 43]
[il, 43]
[qui, 43]
[нынче, 43]
[комнату, 43]
[хотя, 43]
[мимо, 43]
[той, 43]
[нем, 43]
[бог, 43]
[можно, 43]
[около, 43]
[лицом, 42]
[всю, 42]
[голоса, 42]
[chere, 42]
[этим, 42]
[очевидно, 42]
[должен, 42]
[совершенно, 42]
[собой, 42]
